# Generated by scripts/generate_inversions.py (PLAN §5.2 pass 2).
# Sense-keyed: one row per (trigger, sense). See senses.py.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
self-confident	assertive	assertive	ADJ	showing confidence in oneself when dealing with others			
pushy	assertive	assertive	ADJ	aggressively self-asserting in manner			
fake	bogus	bogus	ADJ	not genuine, fraudulent	fur|leather|tan|lashes|nails|smile|laugh|plants|flowers|suede|accent		
phony	bogus	bogus	ADJ	not genuine, fraudulent			
false	bogus	bogus	ADJ	deliberately untrue or fraudulent	teeth|alarm|positive|negative|start|floor|ceiling|sense of security|modesty|eyelashes	claim|claims|invoice|invoices|documents|identity|information|statements|address|credentials	
catastrophic	cataclysmic	cataclysmic	ADJ	causing large-scale disaster or destruction			
disastrous	cataclysmic	cataclysmic	ADJ	causing great and widespread damage	date|haircut|interview|dinner party		
devastating	cataclysmic	cataclysmic	ADJ	hugely destructive on a large scale	news|smile|wit|beauty|personally|blow to her|injury|diagnosis|criticism	earthquake|flood|war|collapse|eruption|impact|famine|hurricane|destruction|climate	
restrict	circumscribe	circumscribe	VERB	keep within set limits	diet|calories|blood flow|airway|breathing		
restricted	circumscribed	circumscribe	VERB	kept within set limits	diet|calories|area only|airway|breathing|blood flow|parking		
limit	circumscribe	circumscribe	VERB	set boundaries on something's scope	speed|weight|budget|credit|age limit|time limit|calories	powers|authority|freedom|rights|role|scope|influence|discretion	
compatible	complementary	complementary	ADJ	working well together so each enhances the other	software|browser|device|hardware|operating system|printer|blood type|format|driver	skills|strengths|roles|approaches|styles|talents|abilities|strategies|expertise	
matching	complementary	complementary	ADJ	chosen to enhance each other, as with colours	socks|luggage|serial|donation|funds|records|fingerprints	colours|colors|shades|tones|palette|design|décor|decor	
controversial	contentious	contentious	ADJ	causing disagreement and dispute			
argumentative	contentious	contentious	ADJ	given to quarrelling			
touchy	contentious	contentious	ADJ	liable to provoke dispute (of a subject)	mood|irritable|feeling|skin|today he|she gets	subject|topic|issue|question|matter|area	
insincere	disingenuous	disingenuous	ADJ	not candid or honest in what one professes			
dishonest	disingenuous	disingenuous	ADJ	not straightforward or candid	theft|stole|stealing|money|fraud|embezzled|cheating|robbery|corrupt	argument|claim|answer|suggest|suggestion|framing|statement|comparison|to say|reading	
misleading	disingenuous	disingenuous	ADJ	deliberately giving a false impression	label|signage|road sign|directions	argument|claim|statement|framing|comparison|rhetoric|spin	
disclose	divulge	divulge	VERB	make secret or private information known			
reveal	divulge	divulge	VERB	tell someone private or secret information	study|research|survey|data|scan|x-ray|autopsy|analysis|dress|skin|gender reveal|design|photo|image|curtain	details|name|names|identity|secret|secrets|source|sources|information|password|terms|salary|location	
revealed	divulged	divulge	VERB	told private or secret information	study|research|survey|data|scan|x-ray|autopsy|analysis|dress|skin|photo|image|curtain|trailer	details|name|names|identity|secret|secrets|source|sources|information|password|salary	
opinionated	dogmatic	dogmatic	ADJ	asserting opinions as unquestionable truth			
rigid	dogmatic	dogmatic	ADJ	unbending in adherence to principles or beliefs	plastic|steel|frame|structure|body|material|board|rod|posture|spine	beliefs|belief|views|ideology|thinking|doctrine|orthodoxy|adherence|interpretation|insistence	
inflexible	dogmatic	dogmatic	ADJ	unwilling to change one's stated views or rules	material|plastic|joint|schedule|hours|working hours	views|beliefs|stance|attitude|ideology|doctrine|position on	
faulty	fallacious	fallacious	ADJ	mistaken in logic or reasoning	wiring|equipment|brakes|part|parts|appliance|valve|battery|installation|product|airbag	reasoning|logic|argument|assumption|assumptions|premise|inference|thinking	
mistaken	fallacious	fallacious	ADJ	based on error (of a belief or assumption)	identity|for|you are mistaken|I was mistaken|unless I'm	belief|beliefs|assumption|assumptions|notion|idea|premise|view|impression|reasoning	
false	fallacious	fallacious	ADJ	logically unsound, based on error	teeth|alarm|positive|negative|start|floor|ceiling|eyelashes|modesty|passport	reasoning|logic|argument|premise|assumption|inference|syllogism|conclusion	
reckless	foolhardy	foolhardy	ADJ	boldly heedless of danger	driving|driver|endangerment|homicide|charge|charged|conviction|speeding		
rash	foolhardy	foolhardy	ADJ	acting without careful thought of the risks	skin|itch|itchy|cream|red|spots|allergic|hives|ointment|outbreak	decision|move|act|action|promise|judgment|judgement|attempt|venture	
overconfident	foolhardy	foolhardy	ADJ	boldly risking danger through excess confidence		risk|danger|attempt|climb|venture|gamble	
complaint	grievance	grievance	NOUN	a cause or statement of unfair treatment; something one complains about	medical|symptom|symptoms|doctor|patient|chief complaint|illness|pain|stomach		
complaints	grievances	grievance	NOUN	plural: causes or statements of unfair treatment	medical|symptoms|doctor|patient|illness|pain		
gripe	grievance	grievance	NOUN	a minor complaint or resentment	water|stomach|gripe water		
rant	harangue	harangue	NOUN	a long angry speech or outburst			
lecture	harangue	harangue	NOUN	a lengthy scolding or reproof	professor|university|college|class|student|students|course|hall|notes|attend|attended|slides		
ranted	harangued	harangue	VERB	spoke at length in an angry manner			
composure	poise	poise	NOUN	calm, dignified self-control in manner			
grace	poise	poise	NOUN	elegance and dignity of bearing or movement	God|prayer|divine|salvation|period|days|saying grace|mercy|Grace		
self-importance	pomposity	pomposity	NOUN	an exaggerated sense of one's own significance			
pretentiousness	pomposity	pomposity	NOUN	showy self-importance in manner or speech			
stand-in	proxy	proxy	NOUN	a person authorized to act or vote in place of another	actor|film|movie|stunt|scene|camera		
substitute	proxy	proxy	NOUN	a person or thing acting in place of another as its representative	teacher|sugar|meat|milk|recipe|player|coach|game|bench|injury		
give in	relent	relent	VERB	to stop resisting and yield to pressure or pleading	homework|assignment|form|paperwork|essay		
gave in	relented	relent	VERB	stopped resisting and yielded to pressure or pleading	homework|assignment|form|paperwork|essay		
let up	relent	relent	VERB	to become less intense or severe			
public speaking	rhetoric	rhetoric	NOUN	the art and practice of speaking persuasively to an audience			
persuasion	rhetoric	rhetoric	NOUN	the craft of persuasive language	religious|faith|denomination|gentle persuasion|every persuasion	speech|speeches|writing|words|argument|audience|essay|speaker	
strictness	rigor	rigor	NOUN	severity or exactness in standards or discipline			
thoroughness	rigor	rigor	NOUN	careful exactness and completeness of method	cleaning|scrubbed|dusting		
scattered	sparse	sparse	ADJ	occurring thinly and at wide intervals	showers|thunderstorms|rain|ashes|broke|glass|debris|clouds|scattered to		
thin	sparse	sparse	ADJ	of hair, vegetation, or a crowd: not dense; thinly distributed	slice|soup|sauce|paper|layer|weight|waist|slim|air|ice|paint|wire	hair|vegetation|grass|crowd|trees|beard|population	
loyal	steadfast	steadfast	ADJ	faithful and unwavering in allegiance	loyalty card|points|rewards|program		
firm	steadfast	steadfast	ADJ	resolute and unwavering in belief or resolve	mattress|handshake|tomatoes|flesh|muscles|law firm|company|partner|accounting|consulting|clients|price|grip|ground	belief|beliefs|resolve|stance|commitment|faith|refusal|support|principles	
faithful	steadfast	steadfast	ADJ	remaining loyal and constant	translation|reproduction|copy|adaptation|rendering|version		
boring	tedious	tedious	ADJ	dull and tiresome to endure	drill|hole|machine|tunnel|boring into|bit		
dull	tedious	tedious	ADJ	lacking interest or excitement; wearisome	knife|blade|edge|ache|pain|thud|roar|colour|color|grey|gray|sky|light|finish|sharpen|sharp|witted		
tiresome	tedious	tedious	ADJ	causing weariness through length or dullness			
energy	vitality	vitality	NOUN	liveliness and vigor of a person or community	electricity|electric|power|fuel|solar|wind|nuclear|kilowatt|grid|consumption|efficiency|renewable|bill|joule|watts|drink|calories|company		
liveliness	vitality	vitality	NOUN	the quality of being full of life and energy			
playful	whimsical	whimsical	ADJ	lightheartedly fanciful in style or humor	puppy|kitten|dog|cat|wrestling|bite|pounced		
quirky	whimsical	whimsical	ADJ	charmingly odd and fanciful			
fanciful	whimsical	whimsical	ADJ	imaginative and playfully unrealistic in design or idea			
trick	ploy	ploy	NOUN	a cunning act intended to gain an advantage	magic|magician|card|cards|hat|rabbit|treat|Halloween|trick question|dog|pony|do the trick|one-trick		
tactic	ploy	ploy	NOUN	a device or manoeuvre used to gain an end	battlefield|infantry|platoon|military		
scheme	ploy	ploy	NOUN	a cunning plan to gain an advantage	colour|color|pension|insurance|rhyme|classification|numbering|naming|funding|government scheme		
nervous	apprehensive	apprehensive	ADJ	anxious that something bad may happen	system|nerve|nerves|breakdown|tissue|disorder|laugh|tic|energy		
anxious	apprehensive	apprehensive	ADJ	uneasy and fearful about a possible outcome	eager|anxious to|disorder|medication|therapy		
worried	apprehensive	apprehensive	ADJ	troubled by fear of what might happen			
consequences	repercussions	repercussion	NOUN	the unintended results or effects of an action or event	as a consequence|logical|grammatical		
fallout	repercussions	repercussion	NOUN	the adverse side effects or consequences of an event	nuclear|radioactive|radiation|bomb|reactor|shelter		
aftereffects	repercussions	repercussion	NOUN	lasting unintended results of an event	drug|anesthesia|medication|dose		
watchful	vigilant	vigilant	ADJ	attentively watching for danger or trouble			
alert	vigilant	vigilant	ADJ	quick to notice and watch for possible danger	email|alerts|siren|text|notification|issued|weather alert|amber		
on the lookout	vigilant	vigilant	ADJ	keeping watch for something dangerous or undesirable	bargains|deals|job|talent		
attacked	assailed	assail	VERB	launched a violent or verbal attack on someone	heart|panic|asthma|migraine|seizure|virus|bacteria		
criticized	assailed	assail	VERB	strongly and publicly found fault with			
attack	assail	assail	VERB	to attack violently or criticize harshly	heart|panic|asthma|migraine|seizure|under attack		
kindly	benevolent	benevolent	ADJ	kind and well-meaning in character	look kindly|take kindly|speak kindly|treated kindly		
well-meaning	benevolent	benevolent	ADJ	having good intentions toward others			
kindhearted	benevolent	benevolent	ADJ	generous and kind in disposition			
scolded	berated	berate	VERB	rebuked someone angrily			
scold	berate	berate	VERB	to rebuke someone angrily			
told off	berated	berate	VERB	reprimanded someone angrily			
cheerful	buoyant	buoyant	ADJ	in a happy, optimistic mood	room|colors|décor|decor|yellow|fire		
upbeat	buoyant	buoyant	ADJ	cheerful and optimistic in mood or tone	tempo|beat|song|music		
strong	buoyant	buoyant	ADJ	showing brisk, healthy growth (of a market or economy)	muscles|wind|coffee|smell|opinion|evidence|man	market|economy|demand|sales|housing|exports	
support	buttress	buttress	VERB	to strengthen or provide evidence for an argument or claim	family|emotionally|fans|team|weight|charity|donate	argument|claim|case|evidence|theory|view|position|conclusion|findings	
supported	buttressed	buttress	VERB	strengthened or gave weight to an argument or claim	family|emotionally|fans|team|charity|donated	argument|claim|case|evidence|theory|view|position|conclusion|findings	
strengthen	buttress	buttress	VERB	to make something more forceful or better justified	muscles|bones|immune|hair		
excuse	condone	condone	VERB	to treat wrongful behavior as acceptable	excuse me|apology|note|absence|pardon|excuse for		
tolerate	condone	condone	VERB	to allow behavior regarded as morally wrong to continue	heat|cold|lactose|pain|drought|medication|temperatures		
tolerated	condoned	condone	VERB	allowed morally wrong behavior to continue	heat|cold|lactose|pain|drought|medication|temperatures		
violate	contravene	contravene	VERB	to act contrary to a law, rule, or agreement	body|sexually|grave|sanctity	law|laws|rule|rules|regulation|regulations|treaty|act|code|policy|ban|agreement	
violates	contravenes	contravene	VERB	acts contrary to a law, rule, or agreement	body|sexually|grave|sanctity	law|laws|rule|rules|regulation|regulations|treaty|act|code|policy|ban|agreement	
break	contravene	contravene	VERB	to fail to observe a law or rule	break down|break up|record|glass|bone|news|coffee|lunch|habit|silence	law|laws|rules|regulations|treaty|ban|code	
condemn	denounce	denounce	VERB	to express public disapproval of something as wrong	building|demolition|death|prisoner|cell|unfit|hell		
condemned	denounced	denounce	VERB	publicly declared something to be wrong	building|demolition|death|prisoner|cell|unfit|hell		
spoke out against	denounced	denounce	VERB	publicly criticized as wrong			
authoritarian	despotic	despotic	ADJ	demanding total obedience, tyrannical in rule			
tyrannical	despotic	despotic	ADJ	exercising power in a cruel, arbitrary way			
dictatorial	despotic	despotic	ADJ	ruling with absolute, oppressive authority			
stray	deviate	deviate	VERB	to wander away from an established course or topic	dog|cat|cats|dogs|animals|bullet|kitten|shelter		
depart	deviate	deviate	VERB	to diverge from an established course or practice	train|flight|plane|airport|station|bus|platform|depart at	norm|plan|script|tradition|standard|course|practice|routine|precedent	
veer	deviate	deviate	VERB	to change direction away from the intended course	car|road|lane|truck|wind|steering		
unbiased	disinterested	disinterested	ADJ	free from prejudice or personal stake			
impartial	disinterested	disinterested	ADJ	treating all sides equally, not favoring one			
neutral	disinterested	disinterested	ADJ	not taking sides, having no stake in the outcome	gear|color|colour|tones|pH|charge|atom|palette|country|Switzerland	observer|party|judge|arbiter|arbitrator|adviser|advisor|opinion|assessment	
intensified	escalated	escalate	VERB	became or made more serious or severe	flavor|flavour|color|colour|aroma		
intensify	escalate	escalate	VERB	to become or make more serious or severe	flavor|flavour|color|colour|aroma		
grew	escalated	escalate	VERB	increased rapidly in intensity or seriousness	plant|plants|hair|beard|garden|tall|crops|up	tension|tensions|conflict|violence|fighting|dispute|crisis|costs|protests	
banish	exorcise	exorcise	VERB	to drive an unwanted memory or thought out of one's mind	kingdom|exile|country|king|realm|banish him from the	memories|memory|thoughts|ghosts|demons|past|doubts|nightmare	
banished	exorcised	exorcise	VERB	drove an unwanted memory or feeling out of one's mind	kingdom|exile|country|king|realm	memories|memory|thoughts|ghosts|demons|past|doubts|nightmare	
get rid of	exorcise	exorcise	VERB	to rid oneself entirely of a haunting memory or feeling	trash|garbage|stains|mice|weeds|clutter|furniture|smell	memories|memory|ghosts|demons|past|doubts	
deep-seated	ingrained	ingrained	ADJ	firmly established and hard to change (of habits, beliefs, attitudes)			
deeply rooted	ingrained	ingrained	ADJ	firmly fixed, difficult to change	tree|plant|soil		
habitual	ingrained	ingrained	ADJ	done constantly as a fixed habit	offender|criminal		
rude	insolent	insolent	ADJ	disrespectful and impertinent toward someone in authority	awakening|health|noise|gesture|joke|word		
cheeky	insolent	insolent	ADJ	impudently disrespectful			
disrespectful	insolent	insolent	ADJ	showing a lack of respect, impertinent			
mock	lampoon	lampoon	VERB	ridicule publicly, especially in satire	exam|trial|mock-up|interview|election		
mocked	lampooned	lampoon	VERB	ridiculed publicly in satire	exam|trial		
satirize	lampoon	lampoon	VERB	attack with satire and ridicule			
extravagant	lavish	lavish	ADJ	luxuriously abundant, costly	claim|praise		
luxurious	lavish	lavish	ADJ	rich, elaborate and expensive			
generous	lavish	lavish	ADJ	giving abundantly, unstinting	helping|portion|serving|spirit		
mournful	lugubrious	lugubrious	ADJ	looking or sounding sad and gloomy			
gloomy	lugubrious	lugubrious	ADJ	sad and dismal in appearance or sound	weather|sky|room|cellar|light|forecast|outlook|economy	voice|face|expression|tone|look|smile|air|manner	
gruesome	macabre	macabre	ADJ	horrifying in a way that involves death or corpses			
grisly	macabre	macabre	ADJ	causing horror, connected with death			
morbid	macabre	macabre	ADJ	disturbingly preoccupied with death	obesity|anatomy|disease|condition|doctor		
sullen	morose	morose	ADJ	gloomy and bad-tempered	sky|clouds|weather		
gloomy	morose	morose	ADJ	of a person: sullen and dispirited	weather|sky|room|light|forecast|outlook|economy|prospects	he|she|mood|became|seemed|grew	
grumpy	morose	morose	ADJ	bad-tempered and sulky			
meddlesome	officious	officious	ADJ	interfering in others' affairs			
bossy	officious	officious	ADJ	fond of telling others what to do, self-importantly interfering			
interfering	officious	officious	ADJ	intruding into other people's business	signal|radio|frequency		
consequence	ramification	ramification	NOUN	a complex or unwelcome result of an action	of no consequence|little consequence|importance		
consequences	ramifications	ramification	NOUN	complex or unwelcome results of an action			
implications	ramifications	ramification	NOUN	consequences that follow from something	said|suggested|hinted|accusation		
calm	serene	serene	ADJ	peaceful and untroubled	calm down|keep calm|before the storm|stay calm|sea was|winds		
peaceful	serene	serene	ADJ	tranquil, free from disturbance	protest|demonstration|coexistence|settlement|transition		
tranquil	serene	serene	ADJ	calm and quiet			
replace	supplant	supplant	VERB	take the place of and displace something previously in use	battery|bulb|tire|tyre|filter|part|broken|refund|damaged|screen		
replaced	supplanted	supplant	VERB	was displaced by something taking its place	battery|bulb|tire|tyre|filter|broken|damaged		
displace	supplant	supplant	VERB	take over the position of	residents|refugees|families|water|air		
unspoken	tacit	tacit	ADJ	understood without being said			
implied	tacit	tacit	ADJ	suggested without being directly stated			
implicit	tacit	tacit	ADJ	implied though not plainly expressed	implicit in|trust|faith|absolute		
go beyond	transcend	transcend	VERB	surpass the limits of			
surpass	transcend	transcend	VERB	exceed, go beyond the range of	record|sales|target|quota|estimate		
rise above	transcend	transcend	VERB	overcome and go beyond limitations	sea level|water|ground|surface		
essay	treatise	treatise	NOUN	a formal written work on a subject	exam|homework|assignment|school|word count|prompt		
study	treatise	treatise	NOUN	a formal written work dealing with a subject	clinical|trial|patients|survey|participants|room|abroad	published|wrote|author|volume|classic	
hostile	antagonistic	antagonistic	ADJ	showing active opposition or dislike	takeover|bid|territory|fire|environment|climate|terrain		
unfriendly	antagonistic	antagonistic	ADJ	showing opposition or ill will			
opposed	antagonistic	antagonistic	ADJ	actively against something	as opposed to		
disconnected	divorced	divorced	ADJ	cut off or out of touch with something (e.g. reality, ordinary life)	cable|wire|phone|internet|battery|power|plug|socket|router|call|server|network	from	
separated	divorced	divorced	ADJ	held apart from something abstract such as reality, context or practice	wife|husband|spouse|marriage|married|parents|mother|father|child|children|milk|egg|yolk|mixture|twins	from	
cut off	divorced	divorced	ADJ	isolated from something one should be in contact with	electricity|water|supply|phone|funding|head|finger|branch|road|traffic	from	
snobbish	elitist	elitist	ADJ	showing a superior attitude towards those thought inferior			
snobby	elitist	elitist	ADJ	showing a superior attitude towards those thought inferior			
snob	elitist	elitist	NOUN	person who looks down on those considered socially or culturally inferior			
demanding	exacting	exacting	ADJ	requiring much skill, care or effort; hard to satisfy	demanded|money|refund|apology|answers|resignation|ransom|compensation|explanation|rights		
hard to please	exacting	exacting	ADJ	difficult to satisfy in one's requirements			
painstaking	exacting	exacting	ADJ	requiring careful, precise effort			
baffled	flummoxed	flummoxed	ADJ	completely unable to understand something			
puzzled	flummoxed	flummoxed	ADJ	unable to understand; perplexed	puzzle|crossword|jigsaw		
confused	flummoxed	flummoxed	ADJ	of a person: bewildered, unable to make sense of something	jumble|muddle|tangle|mass|noise|disordered|confused with		
productive	fruitful	fruitful	ADJ	producing good or useful results	cough|phlegm|mucus|sputum|factory|workforce|output per|productivity		
fertile	fruitful	fruitful	ADJ	of land or soil: capable of producing abundant crops	imagination|mind|egg|sperm|ovulation|conceive|pregnancy|womb|clinic|IVF		
rewarding	fruitful	fruitful	ADJ	yielding worthwhile results from an effort or collaboration	salary|pay|financially|money|bonus	collaboration|partnership|discussion|exchange|relationship|cooperation|dialogue|research	
natural	inborn	inborn	ADJ	present in a person from birth; not learned	gas|light|resources|disaster|world|selection|ingredients|habitat|causes|food|history|fibres|remedy|organic	talent|ability|instinct|gift|aptitude|tendency|flair|curiosity|fear|sense of	
instinctive	inborn	inborn	ADJ	arising from a natural tendency present from birth			
innate	inborn	inborn	ADJ	existing in a person from birth			
Renaissance man	polymath	polymath	NOUN	person with wide-ranging knowledge and accomplishments	painting|Florence|Italy|fifteenth|sixteenth|century|art history		
reserved	reticent	reticent	ADJ	of a person: slow to reveal thoughts or feelings	seat|seats|table|room|ticket|tickets|parking|copyright|rights|judgment|booking|hotel|flight|space		
tight-lipped	reticent	reticent	ADJ	unwilling to speak about something			
guarded	reticent	reticent	ADJ	cautious and unforthcoming in what one says	prison|gate|door|entrance|soldiers|police|dog|treasure|secret was	about	
strict	stringent	stringent	ADJ	of rules or standards: rigorous and precisely enforced	parents|father|mother|teacher|upbringing|vegetarian|Catholic|Muslim|diet|strictly|disciplinarian	rules|regulations|standards|requirements|controls|criteria|laws|guidelines|limits|conditions|measures|restrictions|procedures	
tough	stringent	stringent	ADJ	of rules or measures: severe and demanding	meat|steak|leather|guy|luck|time|times|match|game|decision|kid|fight|weather|boots	rules|laws|regulations|standards|sanctions|penalties|controls|restrictions|requirements|targets	
tight	stringent	stringent	ADJ	of controls or restrictions: strictly imposed	jeans|shoes|fit|knot|rope|squeeze|budget|schedule|deadline|space|hug|lid|corner	controls|security|restrictions|regulations|rules|limits	
submissive	subservient	subservient	ADJ	ready to conform to the authority of others			
obedient	subservient	subservient	ADJ	complying with orders unquestioningly	dog|dogs|puppy|pet|horse|training|classes|school|commands		
subordinate	subservient	subservient	ADJ	lower in rank or importance; secondary to something else	clause|subordinates|manager|staff|employees|reported	to	
secret	surreptitious	surreptitious	ADJ	done stealthily because it would not be approved of	service|agent|agents|police|ingredient|recipe|Santa|ballot|weapon|code|password|garden|identity|formula		
sneaky	surreptitious	surreptitious	ADJ	done in a furtive, underhand way			
secretly	surreptitiously	surreptitious	ADV	in a stealthy way, so as not to be noticed or approved	married|engaged|hoped|admired|pleased|delighted|relieved|wished		
tempting	tantalizing	tantalizing	ADJ	appealing in a way that arouses desire	fate|providence		
enticing	tantalizing	tantalizing	ADJ	attractive and desirable, promising pleasure			
mouthwatering	tantalizing	tantalizing	ADJ	deliciously appealing			
equivalent to	tantamount to	tantamount	ADJ	virtually the same as in effect or seriousness	dollars|euros|pounds|calories|cash|amount|metres|miles|tons|kilograms|degree|qualification|grade|percent|units		
as good as	tantamount to	tantamount	ADJ	effectively the same as (an admission, confession, betrayal)	new|gold|dead|done|anyone|ever|first|original	admission|confession|betrayal|surrender|declaration|endorsement|threat|acceptance|accusation	
lethargy	torpor	torpor	NOUN	lack of energy and enthusiasm; sluggish inactivity			
sluggishness	torpor	torpor	NOUN	slowness and inactivity of body or mind	engine|computer|software|market|economy|sales|download		
inertia	torpor	torpor	NOUN	unwillingness or inability to move or act; apathy	mass|physics|moment|force|motion|Newton|rotational		
sharp	trenchant	trenchant	ADJ	of comment or analysis: keen, forceful and incisive	knife|blade|edge|pain|teeth|corner|turn|object|rise|increase|drop|fall|cheddar|taste|needle|scissors	criticism|critique|analysis|wit|comment|comments|observation|observations|remarks|attack|rebuke|commentary	
biting	trenchant	trenchant	ADJ	of remarks or humour: harsh and sharply effective	insect|mosquito|dog|nails|cold|wind|frost|teeth|snake	criticism|satire|wit|commentary|remarks|humour|humor|critique	
incisive	trenchant	trenchant	ADJ	clear, sharp and forceful in expression or analysis	teeth|incisors|surgery|instrument|cut		
anger	ire	ire	NOUN	strong feeling of displeasure or rage	management|control|therapy|issues		
wrath	ire	ire	NOUN	extreme anger			
fury	ire	ire	NOUN	wild or violent anger	storm|wind|waves|nature		
listless	languid	languid	ADJ	lacking energy or enthusiasm			
sluggish	languid	languid	ADJ	slow-moving, lacking energy	market|economy|sales|engine|growth		
lazy	languid	languid	ADJ	unhurried, relaxed and unenergetic	worker|employee|student|excuse	afternoon|morning|summer|day|river|pace	
soothe	lull	lull	VERB	calm someone into a relaxed or drowsy state	skin|throat|cream|itch|burn		
pause	lull	lull	NOUN	brief interval of quiet or inactivity	button|menu|video|key|press	fighting|conversation|storm|activity|violence|talk	
spirited	mettlesome	mettlesome	ADJ	full of energy and courage	away|spirited away		
plucky	mettlesome	mettlesome	ADJ	having determined courage			
appease	mollify	mollify	VERB	pacify someone's anger by concession	hunger|appetite|thirst		
calm	mollify	mollify	VERB	soothe an angry or anxious person	storm|sea|weather|waters|wind|down	critics|angry|protesters|fears|voters|residents|customers	
soften	mollify	mollify	VERB	reduce the severity of something	butter|dough|water|leather|light|skin	blow|impact|stance|tone|criticism	
offset	neutralize	neutralize	VERB	counterbalance or compensate for	printing|press|margin|carbon offset		
counteract	neutralize	neutralize	VERB	act against so as to reduce the effect			
cancel out	neutralize	neutralize	VERB	nullify by an equal opposing force			
bewildered	nonplussed	nonplussed	ADJ	confused and unsure how to react			
baffled	nonplussed	nonplussed	ADJ	puzzled and at a loss			
taken aback	nonplussed	nonplussed	ADJ	surprised and disconcerted			
steep	precipitous	precipitous	ADJ	rising or falling sharply, very high	tea|price is steep|brew|leaves		
sharp	precipitous	precipitous	ADJ	abrupt and marked (of a decline or rise)	knife|blade|pain|tongue|edge|cheese|note|image|eyes	decline|drop|fall|rise|increase|downturn	
hasty	precipitous	precipitous	ADJ	done too suddenly, without due deliberation		withdrawal|retreat|decision|exit|departure	
showy	pretentious	pretentious	ADJ	ostentatious in a way meant to impress	flowers|blooms|petals|plumage		
snobbish	pretentious	pretentious	ADJ	affecting superior taste or importance			
deep	profound	profound	ADJ	intense, far-reaching, showing great insight	water|pool|ocean|inches|feet|hole|end|breath|fried|snow|pockets		
far-reaching	profound	profound	ADJ	having extensive effects			
immense	profound	profound	ADJ	very great in degree	size|building|distance|landscape	impact|effect|influence|sadness|respect|gratitude|change	
spread	propagate	propagate	VERB	cause an idea or thing to reach more widely	butter|jam|bread|toast|cheese|bet|legs|sheet|tablecloth		
spreading	propagating	propagate	VERB	causing to reach more widely	butter|jam|bread|toast		
multiply	propagate	propagate	VERB	reproduce and increase in number	numbers|math|times|fraction|equation|arithmetic	plants|cells|bacteria|seeds|species|population	
remedy	recourse	recourse	NOUN	means of legal or practical redress	cough|cold|herbal|home remedy|symptoms|illness	legal|court|law|contract|complaint|consumers|victims	
option	recourse	recourse	NOUN	available source of help in difficulty	menu|settings|dropdown|stock|trading|checkbox	only|last|no other	
disprove	refute	refute	VERB	prove a claim to be false			
deny	refute	refute	VERB	declare an allegation untrue	access|entry|permission|request|visa|service	claims|allegations|accusations|charges|reports	
debunk	refute	refute	VERB	expose a claim as false			
revert	regress	regress	VERB	return to a former, less developed condition	ownership|property|estate|commit|branch|file		
backslide	regress	regress	VERB	relapse into worse behaviour or state			
refill	replenish	replenish	VERB	fill up again	prescription|pharmacy		
restock	replenish	replenish	VERB	build supplies up again			
top up	replenish	replenish	VERB	add to something to restore it to full level	phone|sim|credit|balance		
amusing	droll	droll	ADJ	mildly funny in an odd or wry way	park|arcade|ride|attraction		
funny	droll	droll	ADJ	causing laughter or wry amusement	strange|weird|smell|tastes|feel|sick|suspicious|business		
quirky	droll	droll	ADJ	oddly amusing, peculiar in an entertaining way		humour|humor|joke|comedy|wit|charm|tone	
odd	eccentric	eccentric	ADJ	strange or unconventional, said of a person or their behaviour	number|numbers|even|jobs|job|sock|socks|one out|odds|pages	man|woman|person|professor|uncle|aunt|artist|millionaire|behaviour|behavior|character|habits|genius	
quirky	eccentric	eccentric	ADJ	unconventional and slightly strange			
unconventional	eccentric	eccentric	ADJ	not following accepted custom, mildly strange	weapons|warfare|oil|gas|monetary		
irritable	fractious	fractious	ADJ	easily annoyed, bad-tempered	bowel|syndrome|IBS		
unruly	fractious	fractious	ADJ	difficult to control or discipline	hair|curls|fringe		
quarrelsome	fractious	fractious	ADJ	given to arguing and disputes			
clear	limpid	limpid	ADJ	transparent, said of water or another liquid	explanation|instructions|message|evidence|clear up|made clear|clear out|all clear|skies forecast|clear the	water|waters|stream|pool|lake|river|spring|brook|liquid|eyes	
crystal clear	limpid	limpid	ADJ	perfectly transparent, of water	explanation|instructions|message|statement|audio|sound|voice	water|waters|stream|pool|lake|river|lagoon|sea	
sentimental	mawkish	mawkish	ADJ	excessively or falsely emotional	value|keepsake|heirloom|reasons|attachment|souvenir		
sappy	mawkish	mawkish	ADJ	foolishly sentimental	tree|trees|wood|pine|sap|bark		
schmaltzy	mawkish	mawkish	ADJ	cloyingly sentimental			
deference	obeisance	obeisance	NOUN	submissive respect shown to a superior			
homage	obeisance	obeisance	NOUN	formal show of respect or allegiance	film|movie|album|director|tribute band|song	paid|pay|king|queen|emperor|lord|throne|monarch|ruler	
bow	obeisance	obeisance	NOUN	a bending of the body as a mark of respect	arrow|arrows|violin|cello|string|ribbon|tie|ship|hair|and arrow	king|queen|emperor|monarch|throne|court|respect|deep	
showy	ostentatious	ostentatious	ADJ	designed to attract attention by lavish display			
flashy	ostentatious	ostentatious	ADJ	expensively and conspicuously stylish			
pretentious	ostentatious	ostentatious	ADJ	putting on a display of importance or wealth		wealth|display|luxury|mansion|jewellery|jewelry|spending|car	
cure-all	panacea	panacea	NOUN	a remedy said to fix every problem			
